repetition,benchmark,machine,test,result
1,stressng-stream,apt129.apt.emulab.net,raw,8904528363.52
1,stressng-stream,apt131.apt.emulab.net,raw,8925028024.32
1,stressng-stream,apt132.apt.emulab.net,raw,8960060948.48
1,stressng-stream,apt134.apt.emulab.net,raw,8938344939.52
1,stressng-stream,dwill.soe.ucsc.edu,raw,12623974236.16
1,stressng-stream,issdm-0,raw,2455083417.60
1,stressng-stream,issdm-20,raw,2623275008.00
1,stressng-stream,issdm-31,raw,2622226432.00
1,stressng-stream,issdm-34,raw,2585578700.80
1,stressng-stream,issdm-6,raw,2114285731.84
1,stressng-stream,ms1103.utah.cloudlab.us,raw,10448629923.84
1,stressng-stream,ms1119.utah.cloudlab.us,raw,10485235712.00
1,stressng-stream,ms1128.utah.cloudlab.us,raw,10504131051.52
1,stressng-stream,ms1139.utah.cloudlab.us,raw,10482394071.04
1,stressng-stream,pc19.utahddc.geniracks.net,raw,10822583582.72
1,stressng-stream,pc22.utahddc.geniracks.net,raw,11344585687.04
1,stressng-stream,pc25.utahddc.geniracks.net,raw,11117904527.36
1,stressng-stream,pc31.utahddc.geniracks.net,raw,11371733319.68
1,stressng-stream,pc765.emulab.net,raw,13109014036.48
1,stressng-stream,pc767.emulab.net,raw,13119646597.12
1,stressng-stream,pc769.emulab.net,raw,12983153459.20
1,stressng-stream,pc773.emulab.net,raw,12942856683.52
1,stressng-stream,pl2,raw,11212863569.92
1,stressng-stream,rackform2,raw,4491575296.00
1,stressng-stream,scruffy.soe.ucsc.edu,raw,9018519060.48
2,stressng-stream,apt129.apt.emulab.net,raw,8951525539.84
2,stressng-stream,apt131.apt.emulab.net,raw,8878439792.64
2,stressng-stream,apt132.apt.emulab.net,raw,8925059481.60
2,stressng-stream,apt134.apt.emulab.net,raw,8927764807.68
2,stressng-stream,dwill.soe.ucsc.edu,raw,12569018368.00
2,stressng-stream,issdm-0,raw,2476694568.96
2,stressng-stream,issdm-20,raw,2625917419.52
2,stressng-stream,issdm-31,raw,2603362549.76
2,stressng-stream,issdm-34,raw,2541423165.44
2,stressng-stream,issdm-6,raw,2608364257.28
2,stressng-stream,ms1103.utah.cloudlab.us,raw,10449332469.76
2,stressng-stream,ms1119.utah.cloudlab.us,raw,10465816084.48
2,stressng-stream,ms1128.utah.cloudlab.us,raw,10648750653.44
2,stressng-stream,ms1139.utah.cloudlab.us,raw,10446732001.28
2,stressng-stream,pc19.utahddc.geniracks.net,raw,10925742489.60
2,stressng-stream,pc22.utahddc.geniracks.net,raw,9357733396.48
2,stressng-stream,pc25.utahddc.geniracks.net,raw,11001869107.20
2,stressng-stream,pc31.utahddc.geniracks.net,raw,11337528770.56
2,stressng-stream,pc765.emulab.net,raw,13154092318.72
2,stressng-stream,pc767.emulab.net,raw,13009955061.76
2,stressng-stream,pc769.emulab.net,raw,13150181130.24
2,stressng-stream,pc773.emulab.net,raw,13003181260.80
2,stressng-stream,pl2,raw,11038516838.40
2,stressng-stream,rackform2,raw,4387797729.28
2,stressng-stream,scruffy.soe.ucsc.edu,raw,9027138355.20
3,stressng-stream,apt129.apt.emulab.net,raw,8962032271.36
3,stressng-stream,apt131.apt.emulab.net,raw,8857510215.68
3,stressng-stream,apt132.apt.emulab.net,raw,8951210967.04
3,stressng-stream,apt134.apt.emulab.net,raw,8946859376.64
3,stressng-stream,dwill.soe.ucsc.edu,raw,12542625710.08
