benchmark,machine,repetition,test,result
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"af-alg",7553.476964
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"atomic",699767.049846
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"bigheap",35210.011062
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"brk",684735.448826
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"bsearch",370.313794
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"cache",3.399998
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"cpu",269.833322
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"crypt",157.831009
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"full",280837.31905
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"heapsort",4.499998
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"hsearch",4057.406094
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"icache",972.496221
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"lockbus",2007229.384394
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"longjmp",110515.298246
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"lsearch",9.200041
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"malloc",2752967.97198
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"matrix",5033.829164
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"memcpy",1158.421479
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"mincore",48163.38478
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"mmap",1.098067
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"mremap",17.3994
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"msync",63.679951
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"nop",178600.383636
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,,545401.045894
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"numa",111.889439
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"oom-pipe",0
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"opcode",786.576089
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"qsort",9.299998
