benchmark,machine,repetition,test,result
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"af-alg",7588.475463
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"atomic",689312.741493
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"bigheap",36828.022475
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"brk",693474.242737
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"bsearch",364.69307
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"cache",3.499995
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"cpu",270.618852
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"crypt",156.604364
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"full",288368.038741
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"heapsort",4.59998
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"hsearch",4071.218248
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"icache",986.631806
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"lockbus",1961868.458573
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"longjmp",113802.170174
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"lsearch",9.200063
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"malloc",2799104.514957
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"matrix",5000.823011
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"memcpy",1125.590097
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"mincore",48149.857399
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"mmap",1.099263
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"mremap",17.498415
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"msync",66.991134
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"nop",181472.482693
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,,548885.632354
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"numa",105.896781
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"oom-pipe",0
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"opcode",796.68678
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"qsort",10.200011
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"remap",405.64147
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"resources",1378.507363
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"rmap",358.036463
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"shm",136.915791
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"shm-sysv",479.09915
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"stack",0
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"stackmmap",5.599331
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"str",20183.1
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"stream",14.521621
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"tsearch",16.567655
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"vecmath",963.337091
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"vm",34699.655986
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"vm-rw",115.192766
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"vm-splice",592730.117695
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,1,"zero",728364.318646
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"af-alg",7366.269348
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"atomic",680114.96727
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"bigheap",37548.652983
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"brk",687303.034212
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"bsearch",371.529748
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"cache",3.599986
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"cpu",265.886764
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"crypt",157.62784
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"full",284703.477701
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"heapsort",4.599989
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"hsearch",4004.512412
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"icache",980.963608
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"lockbus",2057482.090748
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"longjmp",105713.601633
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"lsearch",9.200036
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"malloc",2687154.315467
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"matrix",5005.827092
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"memcpy",1122.316943
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"mincore",49431.624749
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"mmap",1.097538
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"mremap",17.598988
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"msync",61.821981
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"nop",184640.416901
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,,525604.826319
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"numa",107.695368
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"oom-pipe",0
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"opcode",796.877201
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"qsort",10.100021
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"remap",397.643733
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"resources",1214.173279
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"rmap",987.662539
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"shm",129.212839
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"shm-sysv",33.599062
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"stack",0
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"stackmmap",5.696819
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"str",20084.554827
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"stream",14.633913
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"tsearch",16.842473
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"vecmath",973.468064
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"vm",34699.133321
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"vm-rw",114.310861
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"vm-splice",585163.050239
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,2,"zero",735669.421836
stressng,c220g1.quiho.schedock-PG0.wisc.cloudlab.us,3,"af-alg",7426.831793
