benchmark,machine,repetition,test,result
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"af-alg",7575.325747
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"atomic",716752.908854
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"bigheap",35769.815432
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"brk",661705.830718
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"bsearch",388.532239
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"cache",2.999974
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"cpu",272.035609
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"crypt",166.66392
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"full",301375.762333
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"heapsort",4.900002
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"hsearch",3358.600721
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"icache",1011.239493
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"lockbus",2118250.707129
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"longjmp",119051.603926
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"lsearch",9.600032
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"malloc",2510556.92064
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"matrix",5269.818469
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"memcpy",1120.135371
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"mincore",52016.260435
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"mmap",1.199083
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"mremap",16.896462
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"msync",59.288425
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"nop",193593.261593
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,,558675.530572
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"numa",99.695962
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"oom-pipe",0
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"opcode",741.096148
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"qsort",10.30002
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"remap",415.65598
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"resources",1453.859962
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"rmap",507.666828
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"shm",133.805594
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"shm-sysv",1243.993668
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"stack",0
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"stackmmap",5.197603
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"str",21179.39351
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"stream",2.72126
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"tsearch",16.4503
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"vecmath",1035.644913
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"vm",26995.972828
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"vm-rw",92.02077
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"vm-splice",613780.948849
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,1,"zero",754177.548575
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"af-alg",8532.126576
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"atomic",735150.878557
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"bigheap",34754.017145
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"brk",658528.704536
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"bsearch",383.022853
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"cache",3.299986
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"cpu",272.800793
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"crypt",167.216657
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"full",317927.625037
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"heapsort",4.900006
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"hsearch",3410.897967
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"icache",1037.695324
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"lockbus",2100406.371409
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"longjmp",117790.571195
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"lsearch",9.60006
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"malloc",2571982.033476
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"matrix",5294.833327
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"memcpy",1140.858139
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"mincore",51701.295837
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"mmap",1.097621
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"mremap",16.796661
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"msync",59.384806
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"nop",193269.342759
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,,545792.43677
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"numa",96.997595
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"oom-pipe",0
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"opcode",742.98342
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"qsort",10.00002
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"remap",407.611467
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"resources",2697.247395
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"rmap",1223.897252
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"shm",126.277174
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"shm-sysv",194.246797
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"stack",0
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"stackmmap",5.497745
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"str",21588.361618
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"stream",2.566732
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"tsearch",17.285392
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"vecmath",1013.840803
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"vm",26995.441836
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"vm-rw",91.718002
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"vm-splice",636973.933596
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,2,"zero",759519.510597
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,3,"af-alg",7939.085921
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,3,"atomic",734968.888003
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,3,"bigheap",34485.882373
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,3,"brk",659243.543091
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,3,"bsearch",380.674687
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,3,"cache",3.399977
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,3,"cpu",271.906133
stressng,c220g2.quiho-ivotron.schedock-PG0.wisc.cloudlab.us,3,"crypt",166.69725
