benchmark,machine,repetition,test,result
stressng,c220g1.quiho2.schedock-PG0.wisc.cloudlab.us,1,"af-alg",8105.659587
stressng,c220g1.quiho2.schedock-PG0.wisc.cloudlab.us,1,"atomic",711229.604415
stressng,c220g1.quiho2.schedock-PG0.wisc.cloudlab.us,1,"bigheap",37304.5035
stressng,c220g1.quiho2.schedock-PG0.wisc.cloudlab.us,1,"brk",686002.043277
stressng,c220g1.quiho2.schedock-PG0.wisc.cloudlab.us,1,"bsearch",380.374362
stressng,c220g1.quiho2.schedock-PG0.wisc.cloudlab.us,1,"cache",2.999999
stressng,c220g1.quiho2.schedock-PG0.wisc.cloudlab.us,1,"cpu",271.514117
stressng,c220g1.quiho2.schedock-PG0.wisc.cloudlab.us,1,"crypt",164.988813
stressng,c220g1.quiho2.schedock-PG0.wisc.cloudlab.us,1,"full",310910.994015
stressng,c220g1.quiho2.schedock-PG0.wisc.cloudlab.us,1,"heapsort",4.600001
stressng,c220g1.quiho2.schedock-PG0.wisc.cloudlab.us,1,"hsearch",4082.118394
stressng,c220g1.quiho2.schedock-PG0.wisc.cloudlab.us,1,"icache",1032.387201
stressng,c220g1.quiho2.schedock-PG0.wisc.cloudlab.us,1,"lockbus",2138243.151183
stressng,c220g1.quiho2.schedock-PG0.wisc.cloudlab.us,1,"longjmp",117276.75215
stressng,c220g1.quiho2.schedock-PG0.wisc.cloudlab.us,1,"lsearch",9.500053
stressng,c220g1.quiho2.schedock-PG0.wisc.cloudlab.us,1,"malloc",2756265.819444
stressng,c220g1.quiho2.schedock-PG0.wisc.cloudlab.us,1,"matrix",5153.839198
stressng,c220g1.quiho2.schedock-PG0.wisc.cloudlab.us,1,"memcpy",1091.921613
stressng,c220g1.quiho2.schedock-PG0.wisc.cloudlab.us,1,"mincore",49862.845036
stressng,c220g1.quiho2.schedock-PG0.wisc.cloudlab.us,1,"mmap",1.199881
stressng,c220g1.quiho2.schedock-PG0.wisc.cloudlab.us,1,"mremap",17.499104
stressng,c220g1.quiho2.schedock-PG0.wisc.cloudlab.us,1,"msync",58.184865
stressng,c220g1.quiho2.schedock-PG0.wisc.cloudlab.us,1,"nop",193239.411931
